company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised,country,date_added
Tamara Mellon,Los Angeles,20,2020-03-12,0.4,Retail,https://layoffs.fyi/list/tamara-mellon/,Series C,90,United States,2020-03-31
HopSkipDrive,Los Angeles,8,2020-03-13,0.1,Transportation,https://layoffs.fyi/2020/04/02/hopskipdrive-laid-off-10-of-team-due-to-school-closures/,Unknown,45,United States,2020-04-03
Panda Squad,SF Bay Area,6,2020-03-13,0.75,Consumer,https://twitter.com/danielsinger/status/1238545571092160514,Seed,1,United States,2020-04-17
Help.com,Austin,16,2020-03-16,1,Support,LinkedIn,Seed,6,United States,2020-04-16
Inspirato,Denver,130,2020-03-16,0.22,Travel,https://businessden.com/2020/03/16/inspirato-cuts-20-of-workforce/,Series C,79,United States,2020-03-31
Flytedesk,Boulder,4,2020-03-18,0.2,Marketing,https://businessden.com/2020/03/18/boulder-advertising-startup-flytedesk-lays-off-staff-amid-coronavirus/,Seed,4,United States,2020-04-01
Ejento,SF Bay Area,84,2020-03-19,1,Recruiting,https://layoffs.fyi/list/ejento/,Unknown,,United States,2020-03-28
Remote Year,Chicago,50,2020-03-19,0.5,Travel,https://techcrunch.com/2020/03/19/remote-year-which-helps-you-work-while-traveling-the-world-lays-off-50-of-staff/,Series B,17,United States,2020-03-28
CTO.ai,"Vancouver, Non-U.S.",30,2020-03-20,0.5,Infrastructure,LinkedIn,Seed,7,Canada,2020-04-02
Flywheel Sports,New York City,784,2020-03-20,0.98,Fitness,https://stayfit305.com/solidcore-and-flywheel-announce-layoffs-as-a-result-of-covid-19/,Acquired,120,United States,2020-04-09
Compass,New York City,375,2020-03-23,0.15,Real Estate,https://layoffs.fyi/2020/04/14/compass-laid-off-375-employees-showings-have-dropped-by-60/,Series G,1600,United States,2020-03-28
Convene,New York City,150,2020-03-23,0.18,Real Estate,https://layoffs.fyi/2020/04/08/convene-laid-off-150-employees/,Series D,280,United States,2020-03-28
GrayMeta,Los Angeles,20,2020-03-23,0.4,Data,LinkedIn,Unknown,7,United States,2020-04-01
Ladder Life,SF Bay Area,13,2020-03-23,0.25,Finance,LinkedIn,Series C,94,United States,2020-04-07
Leafly,Seattle,91,2020-03-23,0.5,Retail,https://www.geekwire.com/2020/leafly-lays-off-additional-91-employees-eliminating-50-percent-staff-2020/,Acquired,2,United States,2020-03-28
The Guild,Austin,38,2020-03-23,0.22,Travel,https://www.americaninno.com/austin/inno-news/report-austin-startup-the-guild-lays-off-38-people/,Series B,36,United States,2020-03-28
Triplebyte,SF Bay Area,15,2020-03-23,0.17,Recruiting,https://layoffs.fyi/2020/03/26/triplebyte-lays-off-15-talent-managers-and-technical-writers/,Series B,48,United States,2020-03-28
Foodsby,Minneapolis,87,2020-03-24,0.67,Food,https://www.americaninno.com/minne/inno-news-minne/layoffs-at-foodsby-after-drop-in-business-from-coronavirus/,Series B,20,United States,2020-03-28
Sonder,SF Bay Area,400,2020-03-24,0.33,Travel,https://layoffs.fyi/2020/03/27/sonder-lays-off-400-employees-bookings-down-20/,Series D,359,United States,2020-03-28
Zeus Living,SF Bay Area,80,2020-03-24,0.3,Real Estate,https://layoffs.fyi/2020/03/30/zeus-living-laid-off-80-employees,Series B,79,United States,2020-03-28
Jama,Portland,12,2020-03-25,0.05,Product,https://www.oregonlive.com/silicon-forest/2020/03/jama-software-will-lay-off-a-dozen-but-says-business-is-solid-during-coronavirus-outbreak.html,Unknown,233,United States,2020-03-28
O'Reilly Media,SF Bay Area,75,2020-03-25,0.15,Media,https://www.businessinsider.com/oreilly-media-layoffs-events-business-2020-3,Unknown,,United States,2020-03-30
OutboundEngine,Austin,52,2020-03-25,0.28,Marketing,https://www.bizjournals.com/austin/news/2020/03/25/outbound-engine-lays-off-dozens-amid-coronavirus.html,Series C,48,United States,2020-03-28
Overtime,New York City,30,2020-03-25,0.23,Media,https://frntofficesport.com/overtime-coronavirus-job-cuts/,Series B,35,United States,2020-04-02
Rangle,"Toronto, Non-U.S.",78,2020-03-25,0.3,Product,https://betakit.com/rangle-temporarily-lays-off-78-employees-as-financial-pressures-from-pandemic-hit-cdntech/,Unknown,,Canada,2020-03-28
TripActions,SF Bay Area,300,2020-03-25,0.25,Travel,https://layoffs.fyi/2020/03/31/tripactions-laid-off-300-employees-via-a-group-zoom-call/,Series D,981,United States,2020-03-28
WanderJaunt,SF Bay Area,56,2020-03-25,0.23,Travel,https://www.nytimes.com/2020/04/01/technology/virus-start-ups-pummeled-layoffs-unwinding.html,Series B,26,United States,2020-04-01
Wonderschool,SF Bay Area,50,2020-03-25,0.75,Education,https://layoffs.fyi/2020/03/26/wonderschool-lays-off-75-of-employees/,Series A,24,United States,2020-03-28
B8ta,SF Bay Area,250,2020-03-26,0.5,Retail,https://www.retaildive.com/news/b8ta-announces-corporate-layoffs-and-store-associate-furloughs/574955/,Series C,88,United States,2020-03-29
Consider.co,SF Bay Area,13,2020-03-26,1,Other,https://www.consider.co/,Seed,5,United States,2020-03-28
Ecobee,"Toronto, Non-U.S.",47,2020-03-26,0.1,Energy,https://layoffs.fyi/2020/04/10/ecobee-laid-off-47-employees/,Series C,149,Canada,2020-03-28
GoSpotCheck,Denver,23,2020-03-26,0.2,Retail,https://businessden.com/2020/03/26/software-firm-gospotcheck-cuts-23-employees-in-bid-to-extend-runway/,Series B,47,United States,2020-03-28
Peerspace,SF Bay Area,41,2020-03-26,0.75,Real Estate,https://www.peerspace.com/blog/ceo-letter-to-the-peerspace-community/,Series B,34,United States,2020-03-31
Puppet,Portland,50,2020-03-26,0.1,Infrastructure,https://www.oregonlive.com/silicon-forest/2020/03/portland-marketing-technology-startup-opal-lays-off-20-amid-coronavirus-outbreak.html,Series F,149,United States,2020-03-28
Bench,"Vancouver, Non-U.S.",47,2020-03-27,0.1,Finance,https://betakit.com/bench-re-hires-workers-as-sales-rebound-following-shift-to-helping-us-businesses-with-covid-relief/,Series B,49,Canada,2020-06-23
Bevi,Boston,30,2020-03-27,0.2,Food,https://www.americaninno.com/boston/inno-news-boston/boston-hospitality-startups-downsize-as-the-coronavirus-disruption-continues/,Series C,60,United States,2020-03-28
Bird,Los Angeles,406,2020-03-27,0.3,Transportation,https://layoffs.fyi/2020/03/30/bird-lays-off-over-400-employees,Series D,623,United States,2020-03-28
Blueground,New York City,130,2020-03-27,0.25,Real Estate,https://layoffs.fyi/2020/04/08/blueground-laid-off-130-employees/,Series B,77,United States,2020-03-30
Getaround,SF Bay Area,100,2020-03-27,0.25,Transportation,https://www.bizjournals.com/sanfrancisco/news/2020/03/27/getaround-issues-another-layoff-round-as-it-seeks.html,Series D,403,United States,2020-03-29
HOOQ,"Singapore, Non-U.S.",250,2020-03-27,1,Consumer,https://techcrunch.com/2020/03/27/streaming-service-hooq-files-for-liquidation/,Unknown,95,Singapore,2020-04-18
Knotel,New York City,127,2020-03-27,0.3,Real Estate,https://commercialobserver.com/2020/03/knotel-cuts-half-of-its-staff-amid-coronavirus-pandemic/,Series C,560,United States,2020-03-28
Mogo,"Vancouver, Non-U.S.",78,2020-03-27,0.3,Finance,https://betakit.com/mogo-lays-off-30-percent-of-staff-makes-company-wide-cuts-citing-covid-19-uncertainty/,Post-IPO,201,Canada,2020-04-03
OneWeb,"London, Non-U.S.",451,2020-03-27,0.85,Aerospace,https://spacenews.com/oneweb-files-for-chapter-11-bankruptcy/,Unknown,3000,United Kingdom,2020-03-28
Textio,Seattle,30,2020-03-27,0.2,Recruiting,https://www.geekwire.com/2020/textio-lays-off-30-amid-covid-19-seattle-startup-hopes-ai-writing-tech-will-aid-job-seekers/,Unknown,41,United States,2020-03-28
Zipcar,Boston,100,2020-03-27,0.2,Transportation,https://layoffs.fyi/2020/04/03/zipcar-laid-off-20-of-staff-amid-widescale-travel-disruption,Acquired,107,United States,2020-03-28
TravelTriangle,"Gurugram, Non-U.S.",250,2020-03-28,0.5,Travel,https://entrackr.com/2020/03/exclusive-traveltriangle-lays-off-250-employees-covid-crisis/,Series D,47,India,2020-04-01
Amplero,Seattle,17,2020-03-29,1,Marketing,https://www.geekwire.com/2020/canary-coal-mine-seattle-marketing-tech-startup-amplero-shuts-lays-off-17-employees/,Series B,25,United States,2020-04-01
ZipRecruiter,Los Angeles,400,2020-03-29,0.39,Recruiting,https://www.wsj.com/articles/ziprecruiter-downsizes-as-employers-scale-back-hiring-11585498957,Series B,219,United States,2020-03-29
Blume Global,SF Bay Area,30,2020-03-30,0.1,Logistics,LinkedIn,Unknown,,United States,2020-04-01
FabHotels,"New Delhi, Non-U.S.",80,2020-03-30,0.2,Travel,https://entrackr.com/2020/04/exclusive-fabhotels-lays-off-80-employees-slashes-salary/,Series B,48,India,2020-04-10
Hibob,"Tel Aviv, Non-U.S.",70,2020-03-30,0.3,HR,https://www.teamblind.com/post/Hibob-layoffs---70-ppl-org-wide-5BmyRsoZ,Series A,45,Israel,2020-03-31
Iris Nova,New York City,9,2020-03-30,0.5,Food,https://www.businessinsider.com/coca-cola-backed-startup-iris-nova-layoffs-due-to-coronavirus-2020-3,Seed,15,United States,2020-04-01
Loftsmart,New York City,25,2020-03-30,0.75,Real Estate,https://www.linkedin.com/posts/swbernstein_founder-operator-and-investor-friends-activity-6647864445718585344-4i-K,Series A,18,United States,2020-04-06
Maven,Seattle,31,2020-03-30,0.09,Media,https://www.businesswire.com/news/home/20200330005734/en/Maven-Announces-Broad-Cost-Containment-Initiative-Including-9,Post-IPO,77,United States,2020-04-08
PeerStreet,Los Angeles,51,2020-03-30,0.3,Finance,https://layoffs.fyi/2020/03/31/breaking-la-based-peerstreet-lays-off-50-employees/,Series C,110,United States,2020-03-31
RigUp,Austin,120,2020-03-30,0.25,Energy,https://www.americaninno.com/austin/inno-news/austin-tech-unicorn-rigup-sheds-100-plus-jobs/,Series D,423,United States,2020-03-31
Thumbtack,SF Bay Area,250,2020-03-30,0.3,Consumer,https://layoffs.fyi/2020/04/06/thumbtack-laid-off-250-employees/,Series F,423,United States,2020-03-30
AdRoll,Salt Lake City,210,2020-03-31,0.3,Marketing,https://www.adexchanger.com/online-advertising/nextroll-lays-off-30-institutes-20-paycuts/,Series C,89,United States,2020-04-01
DialSource,Sacramento,5,2020-03-31,0.14,Marketing,Company executive,Series B,26,United States,2020-04-07
KeepTruckin,SF Bay Area,349,2020-03-31,0.18,Logistics,https://layoffs.fyi/2020/03/31/keeptruckin-lays-off-another-149-employees-one-month-after-previous-layoff/,Series D,227,United States,2020-04-01
Rover,Seattle,194,2020-03-31,0.41,Consumer,https://www.geekwire.com/2020/pet-care-startup-rover-lays-off-41-workforce-194-employees-due-covid-19-impact/,Series G,310,United States,2020-03-31
SkySlope,Sacramento,50,2020-03-31,0.25,Real Estate,https://www.bizjournals.com/sacramento/news/2020/04/03/skyslope-said-to-cut-sacramento-staff-as-housing.html,Acquired,,United States,2020-05-14
Turo,SF Bay Area,108,2020-03-31,0.3,Transportation,https://layoffs.fyi/2020/04/21/turo-laid-off-108-employees/,Series E,467,United States,2020-04-01
uShip,Austin,65,2020-03-31,0.37,Logistics,https://www.bizjournals.com/austin/news/2020/03/31/austin-layoffs-rounded-up-incredibly-talented.html,Series D,69,United States,2020-04-01
Zenoti,Seattle,17,2020-03-31,0.04,Fitness,https://www.geekwire.com/2020/spa-salon-software-startup-zenoti-makes-small-layoff-beauty-industry-faces-covid-19-upheaval/,Series C,91,United States,2020-03-31
Acko,"Mumbai, Non-U.S.",45,2020-04-01,0.09,Finance,https://entrackr.com/2020/04/exclusive-acko-insurance-layoff/,Unknown,143,India,2020-04-08
Aqua Security,"Tel Aviv, Non-U.S.",24,2020-04-01,0.09,Security,https://www.bizjournals.com/boston/news/2020/04/02/cybersecurity-company-lays-off-workers-via-zoom.html,Series C,100,Israel,2020-04-04
Crayon,Boston,20,2020-04-01,0.2,Marketing,LinkedIn,Series A,16,United States,2020-04-07
Earnin,SF Bay Area,50,2020-04-01,0.2,Finance,LinkedIn,Series C,190,United States,2020-04-03
Flymya,"Yangon, Non-U.S.",200,2020-04-01,0.33,Travel,https://www.techinasia.com/myanmar-travel-startup-lays-staff-bookings-drop,Unknown,,Myanmar,2020-05-06
Highsnobiety,"Berlin, Non-U.S.",51,2020-04-01,0.25,Media,https://digiday.com/media/highsnobiety-closes-commerce-cuts-25-of-staff/,Series A,8,Germany,2020-04-08
Incredible Health,SF Bay Area,9,2020-04-01,0.4,Healthcare,https://www.statnews.com/2020/04/07/coronavirus-related-layoffs-hit-health-tech-startups/,Series A,15,United States,2020-04-07
Moovel,Portland,28,2020-04-01,0.37,Transportation,https://www.oregonlive.com/silicon-forest/2020/04/transit-tech-company-moovel-says-second-round-of-portland-layoffs-will-reduce-staff-nearly-40.html,Unknown,,United States,2020-04-02
PatientPop,Los Angeles,100,2020-04-01,0.2,Healthcare,LinkedIn,Series B,75,United States,2020-04-01
Sensibill,"Toronto, Non-U.S.",17,2020-04-01,0.2,Finance,https://betakit.com/following-layoffs-sensibill-secures-5-million-in-debt-financing/,Series B,50,Canada,2020-05-22
Showpad,Chicago,52,2020-04-01,0.12,Marketing,https://www.americaninno.com/chicago/inno-news-chicago/showpad-lays-off-52-employees-globally-18-in-chicago/,Series D,159,United States,2020-04-01
Usermind,Seattle,15,2020-04-01,0.25,Marketing,https://www.geekwire.com/2020/seattle-marketing-software-startup-usermind-lays-off-15-employees/,Series C,46,United States,2020-04-02
Wonolo,SF Bay Area,46,2020-04-01,0.13,Recruiting,https://www.bizjournals.com/sanfrancisco/news/2020/04/01/wonolo-cuts-workforce-amid-covid-19-outbreak.html,Series C,52,United States,2020-03-28
1stdibs,New York City,70,2020-04-02,0.17,Retail,https://twitter.com/eringriffith/status/1246147841350762497,Series D,253,United States,2020-04-08
ClassPass,New York City,154,2020-04-02,0.22,Fitness,https://layoffs.fyi/2020/04/03/classpass-laid-off-or-furloughed-half-its-staff/,Series E,549,United States,2020-04-02
Coding Dojo,Seattle,7,2020-04-02,0.07,Education,https://www.geekwire.com/2020/engineering-bootcamp-coding-dojo-cuts-jobs-launches-volunteer-program-help-small-businesses/,Unknown,2,United States,2020-04-12
Dynamic Signal,SF Bay Area,35,2020-04-02,0.19,HR,LinkedIn,Series E,114,United States,2020-04-10
